ID,Place (x),Knowledge (y),Action (z),K5Name
3667,-0.214,-0.301,0.437,Indigenous Justice
3682,-0.205,-0.293,0.344,Indigenous Justice
3685,0.035,-0.287,0.461,Indigenous Justice
3686,-0.185,-0.348,0.43,Indigenous Justice
3687,-0.114,-0.178,0.308,Indigenous Justice
3740,-0.229,-0.591,0.785,Indigenous Justice
3741,-0.06,-0.128,0.48,Indigenous Justice
3742,-0.651,-0.317,0.694,Indigenous Justice
3758,-0.364,-0.607,0.526,Indigenous Justice
3763,0.018,-0.683,0.745,Indigenous Justice
3764,-0.245,-0.242,0.29,Indigenous Justice
3767,-0.521,-0.536,0.557,Indigenous Justice
3772,-0.288,-0.146,0.775,Indigenous Justice
3791,-0.154,-0.206,0.268,Indigenous Justice
3819,-0.572,-0.418,0.604,Indigenous Justice
3826,0.081,-0.288,0.191,Indigenous Justice
3831,-0.449,-0.411,0.641,Indigenous Justice
3838,-0.204,-0.073,0.404,Indigenous Justice
3840,-0.063,-0.35,0.85,Indigenous Justice
3846,-0.224,-0.092,0.494,Indigenous Justice
3847,-0.301,-0.065,0.587,Indigenous Justice
3851,-0.138,-0.276,0.145,Indigenous Justice
3852,-0.268,-0.052,0.768,Indigenous Justice
4024,-0.239,-0.454,0.573,Indigenous Justice
4029,-0.345,-0.49,0.564,Indigenous Justice
4037,-0.22,-0.136,0.846,Indigenous Justice
4048,-0.149,-0.354,0.317,Indigenous Justice
4049,-0.154,-0.374,0.659,Indigenous Justice
4056,-0.095,-0.147,0.277,Indigenous Justice
4070,-0.554,-0.519,0.571,Indigenous Justice
4071,-0.219,-0.187,0.497,Indigenous Justice
4073,-0.412,-0.076,0.536,Indigenous Justice
4114,-0.412,-0.076,0.536,Indigenous Justice
4174,-0.52,-0.812,0.623,Indigenous Justice
4183,-0.279,-0.289,0.745,Indigenous Justice
4225,-0.303,-0.214,0.684,Indigenous Justice
4298,-0.106,-0.187,0.762,Indigenous Justice
4329,-0.108,-0.055,0.226,Indigenous Justice
4331,-0.214,-0.456,0.569,Indigenous Justice
4363,-0.371,-0.259,0.42,Indigenous Justice
4376,-0.247,-0.012,0.478,Indigenous Justice
4379,0.131,-0.277,0.287,Indigenous Justice
4380,0.039,-0.24,0.543,Indigenous Justice
4383,-0.281,-0.651,0.505,Indigenous Justice
4391,0.04,-0.112,0.306,Indigenous Justice
4400,-0.156,-0.279,0.178,Indigenous Justice
4401,0.119,-0.231,0.368,Indigenous Justice
4404,-0.582,-0.011,0.795,Indigenous Justice
4405,0.02,-0.017,0.274,Indigenous Justice
4413,-0.396,-0.193,0.525,Indigenous Justice
4416,-0.196,-0.27,0.232,Indigenous Justice
4420,-0.229,-0.633,0.38,Indigenous Justice
4450,0.169,-0.35,0.232,Indigenous Justice
4457,-0.083,-0.31,0.43,Indigenous Justice
4473,0.103,-0.51,0.23,Indigenous Justice
4478,0.252,-0.224,0.503,Indigenous Justice
4479,0.2,-0.023,0.612,Indigenous Justice
4496,-0.068,-0.38,0.255,Indigenous Justice
4497,-0.196,-0.204,0.42,Indigenous Justice
4535,-0.142,-0.367,0.695,Indigenous Justice
4592,0.135,-0.16,0.403,Indigenous Justice
4596,-0.034,-0.458,0.153,Indigenous Justice
4737,-0.135,-0.386,0.778,Indigenous Justice
4757,-0.258,-0.23,0.322,Indigenous Justice
4759,0.023,-0.128,0.204,Indigenous Justice
4761,-0.183,-0.442,0.227,Indigenous Justice
4765,-0.317,-0.24,0.53,Indigenous Justice
4771,-0.186,-0.403,0.734,Indigenous Justice
4800,-0.372,-0.429,0.621,Indigenous Justice
4859,-0.384,-0.305,0.844,Indigenous Justice
4866,-0.237,-0.14,0.41,Indigenous Justice
4870,-0.062,-0.032,0.277,Indigenous Justice
4911,0.035,-0.305,0.496,Indigenous Justice
4912,-0.41,-0.263,0.616,Indigenous Justice
4922,-0.089,-0.446,0.349,Indigenous Justice
4945,0.072,-0.342,0.172,Indigenous Justice
4957,-0.012,-0.407,0.272,Indigenous Justice
4981,-0.105,-0.022,0.328,Indigenous Justice
4991,-0.091,-0.14,0.249,Indigenous Justice
4994,-0.183,-0.464,0.481,Indigenous Justice
4998,-0.413,-0.07,0.596,Indigenous Justice
5032,-0.551,-0.267,0.639,Indigenous Justice
5033,-0.551,-0.267,0.639,Indigenous Justice
5035,-0.549,-0.248,0.611,Indigenous Justice
5037,-0.391,-0.057,0.742,Indigenous Justice
5039,-0.437,-0.119,0.465,Indigenous Justice
5041,-0.084,-0.17,0.173,Indigenous Justice
5043,-0.177,-0.281,0.233,Indigenous Justice
3220,-0.07,0.036,0.4,Science Policy
3227,-0.031,0.229,0.624,Science Policy
3232,-0.126,0.222,0.405,Science Policy
3282,-0.207,0.019,0.694,Science Policy
3293,0.225,0.169,0.219,Science Policy
3294,-0.461,0.314,0.738,Science Policy
3295,0.362,0.719,0.044,Science Policy
3300,0,0.083,0.23,Science Policy
3305,0.027,0.185,0.451,Science Policy
3325,-0.159,0.132,0.58,Science Policy
3330,-0.159,0.03,0.622,Science Policy
3340,-0.218,0.008,0.482,Science Policy
3342,0.035,0.324,0.214,Science Policy
3344,0.195,0.159,0.554,Science Policy
3345,0.012,0.222,0.387,Science Policy
3347,0.191,0.291,0.191,Science Policy
3355,-0.28,0.352,0.35,Science Policy
3358,-0.053,0.25,0.587,Science Policy
3360,0.128,0.477,0.283,Science Policy
3362,-0.03,0.451,0.429,Science Policy
3373,-0.265,0.164,0.327,Science Policy
3388,-0.225,0.262,0.454,Science Policy
3390,0.321,0.089,0.396,Science Policy
3391,0.029,0.28,0.195,Science Policy
3394,0.027,0.165,0.259,Science Policy
3400,-0.146,0.125,0.188,Science Policy
3403,0.497,0.533,0.684,Science Policy
3409,0.248,0.831,0.225,Science Policy
3411,-0.135,0.016,0.267,Science Policy
3429,0.346,0.662,0.535,Science Policy
